time,open,high,low,close,Volume,OnBalanceVolume
2023-08-28T18:00:00-05:00,26061.41,26178.83,26048.77,26120,925.13753,381037.8441210004
2023-08-28T19:00:00-05:00,26120,26165.99,26084.07,26140.44,617.80751,381655.6516310004
2023-08-28T20:00:00-05:00,26140.44,26206.24,26093.46,26106.34,1108.04346,380547.6081710004
2023-08-28T21:00:00-05:00,26106.34,26117.57,26080.19,26104.69,517.15535,380030.45282100036
2023-08-28T22:00:00-05:00,26104.69,26105.9,26066.36,26083.19,397.27485,379633.1779710004
2023-08-28T23:00:00-05:00,26083.18,26091.36,26051,26057.87,496.74668,379136.4312910004
2023-08-29T00:00:00-05:00,26057.86,26095.08,26032.07,26065.15,2202.25561,381338.6869010004
2023-08-29T01:00:00-05:00,26065.15,26065.16,26005,26008.66,663.09474,380675.5921610004
2023-08-29T02:00:00-05:00,26008.67,26049.23,25990.58,26004.2,788.89577,379886.6963910004
2023-08-29T03:00:00-05:00,26004.2,26015.72,25950,25956.43,1308.19881,378578.49758100044
2023-08-29T04:00:00-05:00,25956.44,25992.23,25950.74,25992.23,730.00833,379308.5059110004
2023-08-29T05:00:00-05:00,25992.23,25992.23,25922,25981.27,925.58822,378382.91769100045
2023-08-29T06:00:00-05:00,25981.27,26046,25961.97,25975.55,894.47402,377488.4436710004
2023-08-29T07:00:00-05:00,25975.54,26044.51,25964.79,26044.51,572.27582,378060.7194910004
2023-08-29T08:00:00-05:00,26044.5,26103.43,26006,26052,920.12168,378980.8411710004
2023-08-29T09:00:00-05:00,26052,27692,26052,27492.03,23508.55351,402489.3946810004
2023-08-29T10:00:00-05:00,27492.03,27550,27265.24,27423.44,8125.13539,394364.2592910004
2023-08-29T11:00:00-05:00,27423.44,28142.85,27350.01,27999.99,12941.32514,407305.5844310004
2023-08-29T12:00:00-05:00,27999.99,28097.91,27793.33,27892.07,5403.89636,401901.6880710004
2023-08-29T13:00:00-05:00,27892.08,28020.73,27835.84,27971.79,2640.80836,404542.4964310004
2023-08-29T14:00:00-05:00,27971.78,27995,27823.91,27831.33,2122.35963,402420.1368010004
2023-08-29T15:00:00-05:00,27831.33,27883.61,27561.24,27569.28,2779.70746,399640.4293410004
2023-08-29T16:00:00-05:00,27569.28,27733.32,27564.39,27658.99,1538.245,401178.6743410004
2023-08-29T17:00:00-05:00,27658.98,27693.98,27532.79,27638.28,1297.33249,399881.3418510004
2023-08-29T18:00:00-05:00,27638.29,27779.12,27567.7,27716.34,1752.69069,401634.0325410004
2023-08-29T19:00:00-05:00,27716.34,27768.57,27622.24,27622.24,1726.34734,399907.6852010004
2023-08-29T20:00:00-05:00,27622.24,27643.03,27455.91,27552.62,1975.16695,397932.51825100044
2023-08-29T21:00:00-05:00,27552.63,27562.07,27349.39,27400.56,2212.69703,395719.82122100046
